driver_id,longitude,latitude,zone
1,38,46,43
2,74,57,57
3,2,33,30
4,64,22,26
5,49,19,14
6,18,67,61
7,14,2,1
8,8,12,10
9,45,34,34
10,23,38,32
11,77,20,27
12,37,70,73
13,63,22,26
14,31,19,13
15,6,49,40
16,5,86,80
17,27,13,12
18,81,69,68
19,48,45,44
20,84,83,88
21,17,74,71
22,48,66,64
23,78,58,57
24,66,75,76
25,67,81,86
26,81,76,78
27,43,13,14
28,53,5,5
29,80,67,68
30,69,37,36
31,65,44,46
32,38,30,33
33,45,80,84
34,88,75,78
35,5,40,40
36,48,69,64
37,4,43,40
38,61,27,26
39,89,56,58
40,66,21,26
41,7,77,70
42,52,52,55
43,25,85,82
44,27,57,52
45,45,60,64
46,16,83,81
47,17,41,41
48,67,61,66
49,8,72,70
50,34,36,33
51,30,47,43
52,53,44,45
53,14,75,71
54,34,53,53
55,14,86,81
56,25,46,42
57,26,55,52
58,40,4,4
59,71,59,57
60,48,13,14
61,29,60,62
62,20,8,2
63,87,30,38
64,63,65,66
65,37,63,63
66,50,71,75
67,82,33,38
68,75,76,77
69,52,80,85
70,69,15,16
71,77,38,37
72,67,74,76
73,57,90,95
74,43,18,14
75,27,64,62
76,12,6,1
77,69,62,66
78,25,7,2
79,1,58,50
80,64,38,36
81,54,12,15
82,28,26,22
83,73,49,47
84,43,3,4
85,70,32,37
86,23,75,72
87,52,11,15
88,29,50,52
89,63,56,56
90,49,10,14
91,79,18,17
92,23,51,52
93,50,79,75
94,27,4,2
95,14,50,51
96,11,25,21
97,7,60,60
98,89,3,8
99,73,67,67
100,7,72,70
101,27,19,12
102,47,51,54
103,26,66,62
104,8,43,40
105,25,79,72
106,2,18,10
107,42,11,14
108,54,4,5
109,67,35,36
110,64,54,56
111,19,76,71
112,79,20,27
113,18,39,31
114,84,81,88
115,45,6,4
116,49,31,34
117,20,85,82
118,74,5,7
119,63,42,46
120,0,6,0
121,78,18,17
122,56,5,5
123,85,29,28
124,34,32,33
125,42,82,84
126,29,38,32
127,37,65,63
128,79,80,87
129,55,59,55
130,38,87,83
131,66,50,56
132,12,39,31
133,12,64,61
134,12,39,31
135,25,43,42
136,66,20,26
137,72,61,67
138,3,78,70
139,18,88,81
140,8,21,20
141,25,48,42
142,20,34,32
143,27,86,82
144,72,8,7
145,40,73,74
146,78,57,57
147,25,50,52
148,75,84,87
149,62,36,36
150,21,29,22
151,19,68,61
152,68,33,36
153,56,17,15
154,6,90,90
155,85,23,28
156,47,80,84
157,4,22,20
158,11,87,81
159,37,3,3
160,67,70,76
161,44,65,64
162,25,3,2
163,84,65,68
164,90,56,59
165,43,10,14
166,25,12,12
167,66,85,86
168,3,33,30
169,23,35,32
170,63,88,86
171,46,57,54
172,87,6,8
173,57,84,85
174,67,51,56
175,36,69,63
176,71,44,47
177,14,89,81
178,26,39,32
179,79,78,77
180,47,32,34
181,4,18,10
182,1,71,70
183,75,64,67
184,5,4,0
185,85,72,78
186,46,89,84
187,51,82,85
188,50,9,5
189,20,28,22
190,87,52,58
191,90,43,49
192,83,39,38
193,43,42,44
194,69,42,46
195,65,64,66
196,55,86,85
197,9,41,40
198,26,60,62
199,62,60,66
200,38,82,83
201,12,9,1
202,57,74,75
203,0,56,50
204,31,16,13
205,27,42,42
206,12,90,91
207,48,83,84
208,10,2,1
209,66,46,46
210,28,38,32
211,83,71,78
212,72,71,77
213,54,60,65
214,28,11,12
215,16,38,31
216,68,5,6
217,34,38,33
218,80,15,18
219,10,78,71
220,71,84,87
221,20,46,42
222,15,71,71
223,84,74,78
224,31,17,13
225,52,85,85
226,71,62,67
227,69,45,46
228,21,38,32
229,31,71,73
230,31,75,73
231,35,78,73
232,29,74,72
233,83,82,88
234,0,47,40
235,26,26,22
236,44,77,74
237,47,86,84
238,57,81,85
239,17,12,11
240,89,61,68
241,25,62,62
242,74,83,87
243,11,73,71
244,77,56,57
245,1,33,30
246,20,7,2
247,65,37,36
248,87,70,78
249,80,87,88
250,57,7,5
251,57,52,55
252,76,22,27
253,78,13,17
254,27,50,52
255,58,53,55
256,87,47,48
257,0,69,60
258,35,44,43
259,8,44,40
260,79,2,7
261,32,31,33
262,12,85,81
263,14,30,31
264,62,21,26
265,70,30,37
266,35,2,3
267,27,28,22
268,87,83,88
269,30,36,33
270,67,81,86
271,32,76,73
272,15,39,31
273,80,16,18
274,5,80,80
275,80,59,58
276,28,57,52
277,69,76,76
278,20,10,12
279,55,63,65
280,23,78,72
281,81,26,28
282,51,85,85
283,62,4,6
284,4,37,30
285,32,37,33
286,9,23,20
287,78,22,27
288,31,22,23
289,24,1,2
290,64,11,16
291,38,57,53
292,32,68,63
293,14,81,81
294,30,44,43
295,61,38,36
296,0,64,60
297,72,54,57
298,34,77,73
299,75,1,7
300,7,90,90
301,87,75,78
302,24,84,82
303,2,43,40
304,87,75,78
305,16,71,71
306,76,24,27
307,88,76,78
308,18,38,31
309,88,16,18
310,22,17,12
311,29,25,22
312,49,4,4
313,82,62,68
314,26,3,2
315,3,77,70
316,21,72,72
317,36,27,23
318,10,77,71
319,17,36,31
320,64,44,46
321,48,39,34
322,73,46,47
323,53,0,5
324,9,84,80
325,45,67,64
326,59,41,45
327,74,88,87
328,18,43,41
329,54,26,25
330,83,34,38
331,2,83,80
332,35,48,43
333,13,89,81
334,28,49,42
335,58,72,75
336,39,64,63
337,5,45,40
338,47,77,74
339,80,25,28
340,6,63,60
341,24,44,42
342,40,38,34
343,48,49,44
344,51,86,85
345,8,79,70
346,43,73,74
347,57,9,5
348,63,41,46
349,80,47,48
350,83,64,68
351,33,15,13
352,49,75,74
353,23,67,62
354,74,60,67
355,2,79,70
356,40,65,64
357,66,75,76
358,78,25,27
359,49,43,44
360,43,79,74
361,3,36,30
362,1,16,10
363,32,37,33
364,83,69,68
365,33,40,43
366,86,58,58
367,4,80,80
368,13,9,1
369,10,12,11
370,87,19,18
371,39,19,13
372,43,16,14
373,46,42,44
374,36,36,33
375,40,50,54
376,79,25,27
377,26,39,32
378,76,59,57
379,90,49,49
380,20,22,22
381,14,1,1
382,83,9,8
383,84,33,38
384,58,13,15
385,60,46,46
386,47,75,74
387,65,78,76
388,32,72,73
389,64,21,26
390,59,40,45
391,62,60,66
392,69,87,86
393,81,60,68
394,28,2,2
395,19,90,91
396,4,36,30
397,77,19,17
398,51,62,65
399,64,19,16
400,12,77,71
401,77,70,77
402,64,85,86
403,6,82,80
404,10,42,41
405,14,75,71
406,22,58,52
407,5,8,0
408,10,16,11
409,70,50,57
410,50,87,85
411,10,20,21
412,36,89,83
413,49,11,14
414,85,24,28
415,37,11,13
416,24,26,22
417,90,12,19
418,73,79,77
419,75,26,27
420,4,0,0
421,88,6,8
422,13,75,71
423,0,70,70
424,75,78,77
425,54,63,65
426,69,9,6
427,40,38,34
428,27,71,72
429,64,16,16
430,56,57,55
431,55,7,5
432,78,27,27
433,21,68,62
434,81,56,58
435,39,70,73
436,7,89,80
437,36,46,43
438,89,38,38
439,57,50,55
440,53,65,65
441,19,36,31
442,27,78,72
443,67,68,66
444,88,64,68
445,37,0,3
446,54,48,45
447,72,75,77
448,90,37,39
449,53,12,15
450,47,15,14
451,36,2,3
452,87,35,38
453,53,36,35
454,8,26,20
455,37,53,53
456,3,46,40
457,71,86,87
458,65,48,46
459,57,27,25
460,41,70,74
461,27,45,42
462,34,82,83
463,49,56,54
464,46,77,74
465,15,86,81
466,25,82,82
467,60,29,26
468,61,61,66
469,54,7,5
470,21,59,52
471,71,21,27
472,19,37,31
473,40,42,44
474,78,53,57
475,54,63,65
476,15,52,51
477,67,42,46
478,81,70,78
479,47,2,4
480,6,33,30
481,77,63,67
482,71,20,27
483,50,55,55
484,85,14,18
485,13,69,61
486,65,78,76
487,47,16,14
488,29,55,52
489,60,41,46
490,5,12,10
491,22,66,62
492,35,77,73
493,41,41,44
